student_id,attendance_pct,homework_pct,midterm_score,study_hours_per_week,pass
39.12,52.53,72.1,70.88,7.38,0
8.04,94.01,61.47,63.17,6.43,1
59.09,37.31,54.99,69.51,3.72,1
58.07,78.48,89.36,60.51,11.59,1
50.65,54.95,66.09,58.18,9.95,0
43.69,94.01,53.55,82.39,15.0,0
9.44,64.7,77.92,64.3,6.9,0
38.3,63.09,44.41,95.02,7.09,1
40.56,94.01,50.65,47.31,3.14,0
27.22,85.0,72.73,70.65,9.68,1
45.82,79.3,84.04,56.82,2.0,1
62.22,83.74,63.4,80.18,2.0,1
99.01,50.4,65.07,52.0,8.07,1
55.56,82.61,82.41,85.3,9.08,0
57.97,66.01,83.13,79.7,5.04,1
48.34,75.89,37.97,53.32,3.15,1
1.99,78.07,94.26,63.57,7.41,0
49.73,49.92,63.47,75.38,4.7,1
52.25,80.0,56.33,82.82,4.61,0
99.01,66.23,61.06,77.58,9.09,1
44.92,47.63,45.81,65.55,15.0,1
59.25,66.93,95.01,95.02,5.02,0
49.49,69.87,46.82,86.34,7.3,1
16.59,80.0,43.53,54.77,7.63,0
83.65,32.97,64.58,69.35,4.0,1
72.31,76.37,45.55,95.02,6.45,0
73.45,60.48,71.11,74.73,6.63,1
24.12,83.82,95.01,69.23,6.38,1
91.2,69.49,71.84,62.87,5.2,0
9.83,63.64,74.79,52.7,8.24,1
67.53,66.39,64.08,67.62,6.84,1
99.01,75.41,51.32,66.77,2.0,1
21.76,85.55,64.06,46.85,15.0,1
34.07,53.79,86.97,56.03,3.79,0
53.39,63.45,92.13,82.8,3.03,1
35.89,94.01,69.74,51.28,2.0,1
5.51,63.15,83.96,65.94,13.72,1
52.49,76.0,55.85,75.61,3.66,1
19.68,47.73,58.56,76.43,2.0,1
64.24,39.26,41.81,91.88,5.14,1
23.83,51.16,87.9,64.13,9.51,0
95.47,57.34,59.23,69.04,5.48,0
27.78,87.88,46.44,94.3,2.0,1
41.16,89.81,77.56,59.41,6.31,0
74.1,35.53,91.88,68.42,3.92,0
14.79,59.97,62.72,70.51,9.61,1
57.1,81.84,38.9,66.74,6.1,1
88.42,67.66,63.52,83.41,8.65,0
3.86,94.01,73.1,43.98,10.49,1
55.86,81.41,79.16,61.8,7.64,0
58.04,64.79,82.24,79.3,7.85,0
73.18,66.37,70.32,55.48,8.88,0
14.61,68.52,64.63,56.9,8.16,1
12.19,54.59,80.7,62.96,3.15,0
65.64,86.1,46.52,90.46,2.11,1
59.12,82.63,52.55,72.02,15.0,1
57.77,77.54,56.66,66.65,15.0,1
60.55,73.8,61.51,51.67,2.0,1
30.77,51.55,45.5,71.88,4.93,1
57.24,78.42,85.57,48.29,8.35,1
59.0,71.8,48.41,43.98,8.22,1
29.78,94.01,37.97,62.75,8.25,0
99.01,46.69,85.81,43.98,3.68,1
64.25,56.75,77.8,64.5,5.99,1
15.94,41.51,68.0,85.11,11.36,1
69.55,65.67,77.0,91.81,7.64,0
22.22,38.79,70.88,81.54,5.52,0
73.33,90.45,88.83,83.51,3.61,0
84.11,88.8,55.96,64.01,10.54,1
26.69,66.7,95.01,57.71,7.82,0
78.45,51.63,85.15,76.09,5.95,1
62.48,42.62,58.71,80.49,9.28,0
74.35,57.1,56.0,74.71,6.87,0
99.01,80.56,71.52,68.73,2.0,1
43.38,55.63,49.91,49.79,9.59,0
28.63,94.01,65.53,43.98,15.0,1
24.69,94.01,91.93,69.18,2.81,1
26.83,69.53,72.13,86.82,8.79,1
48.26,61.37,95.01,52.23,5.13,1
60.4,59.47,55.93,74.11,11.9,0
58.53,94.01,76.73,76.31,7.82,1
74.5,57.93,59.97,74.77,10.09,1
50.88,86.01,65.51,54.61,2.0,0
92.67,69.9,77.54,43.98,5.76,1
42.82,82.12,56.55,54.87,2.0,1
99.01,55.04,54.36,70.37,5.53,1
68.65,63.64,61.1,57.96,8.16,0
25.63,69.09,59.88,65.78,8.95,0
19.43,58.38,51.85,65.11,7.55,1
64.5,91.57,93.61,63.78,9.04,0
44.02,56.03,63.86,71.09,5.49,0
71.21,59.33,83.15,54.16,2.35,1
64.23,93.5,81.93,77.2,7.8,1
48.39,90.08,86.47,54.15,6.88,0
25.93,94.01,46.3,71.77,13.57,1
6.55,35.84,63.08,60.12,11.49,0
37.55,73.06,80.72,59.04,11.57,0
75.35,71.11,58.56,67.82,5.06,0
56.71,59.6,94.34,65.48,7.36,1
14.36,75.25,48.13,71.6,8.63,1
55.52,63.85,82.99,73.45,3.65,1
61.68,72.38,61.43,43.98,3.16,0
24.86,94.01,86.9,74.23,4.55,0
54.96,75.12,73.62,74.29,4.4,1
52.19,75.86,54.65,68.96,9.18,1
17.34,84.02,82.98,80.04,8.49,0
60.88,72.71,39.63,73.61,7.11,1
66.77,50.14,63.11,50.26,7.71,0
81.92,40.45,61.28,91.62,6.92,1
81.07,69.0,76.38,75.31,5.94,1
10.53,64.77,37.97,49.92,5.79,0
23.29,34.86,73.0,60.37,2.0,0
65.44,94.01,75.37,61.58,6.28,1
65.41,71.41,55.52,75.06,5.93,1
65.44,94.01,63.86,80.4,4.82,1
99.01,32.97,69.63,70.9,5.01,1
67.06,94.01,85.13,76.08,7.43,0
83.44,60.96,37.97,74.61,5.9,0
78.18,91.75,68.06,43.98,10.02,1
69.4,73.31,77.19,54.76,2.02,1
41.35,77.52,79.67,43.98,10.7,0
72.52,77.54,65.31,57.21,12.06,0
28.08,62.02,78.79,65.33,10.12,0
43.63,58.11,67.78,49.65,2.0,0
36.42,63.14,88.2,63.1,8.06,1
52.88,43.54,54.82,74.45,3.02,0
99.01,61.03,57.75,71.61,3.95,0
1.99,57.22,76.88,61.41,5.93,0
70.41,43.11,80.03,52.88,7.87,0
3.71,77.62,77.58,78.35,10.4,0
36.81,69.66,61.79,78.91,8.04,0
82.09,73.86,62.06,87.24,5.0,0
52.36,81.83,68.82,57.54,12.91,1
19.23,65.32,50.29,43.98,11.3,0
29.75,52.95,55.14,74.86,2.0,0
70.22,74.89,93.89,43.98,2.0,1
29.31,32.97,66.2,68.06,2.0,0
56.78,67.61,60.11,52.02,5.94,0
51.82,83.03,59.17,66.5,5.47,1
31.6,88.0,73.98,47.69,2.0,1
99.01,60.17,95.01,59.31,12.47,1
68.89,32.97,88.6,57.46,2.65,1
1.99,32.97,46.75,70.85,5.52,0
55.91,80.78,90.86,88.06,5.83,1
31.3,63.27,54.84,73.66,11.16,1
75.23,94.01,58.01,62.38,10.07,0
27.51,44.61,61.09,84.85,2.0,1
47.17,75.56,49.05,73.94,2.0,0
65.15,94.01,90.91,43.98,8.18,0
75.62,73.16,59.17,59.81,9.29,0
15.68,41.42,37.97,60.64,9.12,1
40.8,94.01,54.62,62.92,9.51,0
36.72,94.01,72.39,64.2,12.22,0
31.55,65.51,39.76,64.32,10.96,1
99.01,83.98,73.62,82.66,12.01,1
62.25,84.16,53.92,93.18,9.37,1
13.92,80.85,88.02,68.11,15.0,0
77.13,45.13,76.77,68.99,10.81,1
99.01,75.24,70.4,87.21,6.85,1
80.45,94.01,42.68,43.98,11.02,0
6.42,78.43,47.09,55.09,4.69,1
36.45,76.53,59.19,66.55,8.9,1
87.25,60.04,65.14,65.97,8.8,1
29.97,53.56,95.01,77.79,10.02,1
63.38,41.76,74.07,62.03,3.16,0
72.97,82.89,62.51,71.66,11.49,0
23.61,65.62,94.13,93.52,6.74,1
48.77,45.84,67.5,79.61,11.56,1
1.99,86.76,76.42,95.02,7.73,1
20.78,59.16,95.01,64.13,8.05,0
43.17,54.38,81.22,67.01,6.24,1
14.3,60.76,76.56,77.45,6.08,1
97.86,66.11,78.92,68.95,8.76,1
9.01,77.6,67.92,65.71,6.11,1
37.73,54.07,69.74,59.57,2.0,1
54.29,87.35,42.07,72.04,6.83,1
92.31,78.07,56.97,61.49,2.0,1
8.84,60.44,68.2,71.36,3.21,0
84.25,66.7,76.92,59.54,3.66,0
50.8,62.06,61.64,77.8,9.37,0
22.02,70.68,95.01,58.72,15.0,1
63.91,94.01,82.4,60.31,5.65,0
56.28,61.88,73.23,47.85,8.45,1
33.09,72.86,44.44,88.1,11.76,0
52.53,57.19,68.05,63.59,8.15,0
39.32,78.91,77.72,73.22,2.0,0
53.79,74.4,67.44,43.98,4.91,0
69.71,92.99,66.76,78.71,9.08,1
96.51,54.88,66.35,43.98,9.36,1
14.59,81.71,57.07,92.03,14.78,1
99.01,91.83,47.76,62.07,8.86,0
1.99,61.8,95.01,70.28,13.11,1
46.1,67.28,51.97,65.2,4.46,1
67.57,72.89,61.08,68.68,2.0,0
58.65,65.34,73.34,63.63,7.73,1
32.43,72.65,37.97,74.81,15.0,1
44.46,81.41,95.01,95.02,4.53,1
36.2,67.51,88.93,66.58,14.74,1
33.4,67.37,43.45,95.02,10.58,1
75.15,74.23,63.53,84.38,6.48,1
60.86,62.47,85.3,74.99,6.42,1
30.4,63.35,68.64,84.29,9.25,1
76.6,53.65,86.04,95.02,2.0,1
59.42,68.78,95.01,43.98,6.9,1
74.08,77.42,54.92,66.22,9.35,0
68.77,64.77,76.98,93.2,8.33,1
26.45,55.87,48.55,66.2,8.7,1
34.25,67.82,61.13,63.62,8.2,0
72.18,76.53,70.21,61.76,8.26,1
68.21,71.78,71.52,65.39,6.83,0
49.89,94.01,54.58,61.24,2.0,0
53.9,57.93,79.17,70.33,10.13,1
87.57,66.87,44.05,47.66,6.62,0
33.34,83.28,54.04,64.89,7.2,0
66.37,57.26,87.27,66.72,8.99,0
44.63,94.01,55.44,43.98,3.11,1
44.18,69.6,73.65,65.88,7.45,0
82.38,79.43,95.01,80.0,10.09,0
74.45,69.86,68.72,63.03,8.19,1
74.1,87.5,91.89,58.21,9.65,1
88.37,50.76,45.99,68.34,2.2,1
51.11,94.01,58.99,83.32,8.36,1
70.28,73.61,72.79,73.8,7.07,0
41.5,81.14,51.48,82.17,4.49,0
59.9,56.49,61.15,63.78,6.19,1
46.72,75.47,71.49,69.12,7.54,0
53.31,52.43,71.88,77.42,7.49,0
67.77,90.27,63.7,70.92,12.59,1
26.76,46.75,37.97,50.45,7.0,1
99.01,72.24,58.03,61.07,10.52,0
21.31,62.66,45.18,44.59,7.69,1
15.27,41.94,67.75,73.42,4.83,1
84.1,53.01,68.34,80.25,6.29,1
73.47,77.46,66.87,79.54,5.39,1
68.61,53.69,52.98,60.69,9.52,0
68.73,57.71,40.56,56.24,9.52,1
50.14,76.11,93.34,71.82,2.0,0
24.47,85.67,69.36,66.35,6.54,1
52.7,81.18,63.71,91.46,9.89,1
30.85,68.7,67.89,52.7,5.11,0
78.79,73.36,46.21,66.75,7.53,0
46.23,71.62,90.95,54.45,10.26,1
26.55,51.23,56.87,58.65,5.67,0
41.18,74.45,67.11,78.94,10.76,0
62.48,51.07,77.3,71.25,8.33,1
34.15,80.36,81.23,61.76,10.32,1
26.65,71.91,68.63,95.02,10.17,1
57.57,32.97,51.49,66.09,2.75,1
57.61,86.8,79.21,75.5,12.54,1
35.79,60.31,83.49,45.74,12.88,1
36.83,58.84,88.98,57.72,7.03,1
57.23,86.39,78.27,57.76,11.36,1
8.49,66.64,95.01,95.02,7.75,0
9.67,80.07,71.56,53.59,9.16,1
29.66,57.99,72.43,77.43,13.77,0
44.31,83.71,89.95,76.86,9.67,0
59.52,73.0,95.01,86.75,4.96,0
93.3,76.67,92.65,62.07,6.73,1
75.38,66.37,67.66,82.69,5.79,0
45.86,94.01,82.02,51.51,5.45,1
49.95,94.01,87.11,71.19,8.08,1
21.42,32.97,70.08,88.05,6.43,1
49.96,85.87,54.6,54.63,9.33,1
42.13,50.46,51.96,67.85,8.95,1
59.86,78.52,75.44,85.47,9.15,1
26.5,38.14,83.94,60.28,6.65,1
65.57,76.64,61.24,82.49,8.99,1
94.97,54.76,56.01,75.32,7.35,0
47.34,61.42,60.26,58.23,8.08,0
62.15,61.89,71.58,59.68,6.32,0
70.52,56.55,82.29,43.98,5.05,1
38.86,57.03,75.37,69.93,5.32,1
57.0,62.49,69.14,66.71,11.46,0
50.87,66.8,92.68,88.18,13.2,1
53.33,75.22,95.01,65.76,6.73,0
28.07,94.01,69.23,62.36,6.87,0
51.21,52.81,95.01,62.48,2.0,0
64.95,71.76,57.34,55.36,6.65,1
92.6,83.16,88.48,88.79,2.34,1
78.33,57.01,55.04,93.46,11.46,1
99.01,32.97,63.01,57.62,2.37,0
28.24,35.82,68.34,59.82,10.2,0
75.81,32.97,37.97,61.89,13.56,1
55.82,94.01,38.02,59.49,9.08,1
99.01,80.36,54.56,74.47,3.12,1
27.05,82.86,91.55,78.88,6.28,1
26.14,86.84,64.96,44.06,6.81,1
33.11,59.36,84.6,95.02,9.67,1
1.99,94.01,41.04,73.81,2.0,0
35.25,75.44,75.15,54.54,3.69,1
28.48,68.24,76.52,54.65,15.0,0
54.86,89.11,52.7,58.72,12.26,0
60.41,81.3,95.01,71.27,7.54,1
99.01,93.09,47.65,95.02,3.62,1
78.07,94.01,64.9,92.26,6.2,1
33.76,63.28,95.01,70.75,10.33,1
24.44,72.82,52.84,69.91,7.11,0
64.77,53.47,58.46,53.14,6.91,0
12.2,40.78,71.68,68.14,13.07,1
99.01,84.29,46.44,74.5,8.67,1
84.72,86.41,77.82,58.84,5.25,1
36.89,34.53,38.73,50.41,11.01,0
1.99,56.86,69.05,74.48,7.2,1
89.78,70.51,93.64,64.18,5.01,1
47.18,72.19,79.93,70.96,8.12,0
86.41,94.01,68.33,84.91,13.18,1
4.24,58.45,63.56,61.93,10.29,1
33.11,66.5,67.59,43.98,8.34,1
50.65,80.99,64.14,74.41,4.75,1
51.86,63.34,75.8,86.18,12.68,1
37.44,60.61,80.0,61.7,10.11,0
68.57,59.16,71.47,73.19,6.52,1
19.53,73.63,80.95,48.95,11.78,0
46.37,66.42,77.77,43.98,12.53,1
53.99,81.57,47.83,81.18,2.57,0
65.42,75.83,37.97,51.66,2.0,0
71.15,32.97,71.96,58.99,6.83,0
17.87,38.6,61.37,71.68,9.87,0
5.99,60.68,72.48,74.54,7.87,0
87.57,86.82,95.01,67.45,11.93,1
60.14,58.02,64.47,81.1,12.43,1
28.79,76.13,74.32,44.71,3.83,1
95.5,80.08,54.65,69.05,5.49,0
53.86,79.06,77.4,68.81,4.77,0
84.71,59.86,55.74,78.71,5.21,0
52.46,49.25,86.06,57.33,6.8,1
99.01,46.36,71.12,72.38,5.69,1
99.01,94.01,66.55,75.84,6.93,0
43.28,77.56,41.17,81.37,2.42,0
78.69,94.01,45.67,95.02,14.68,1
69.22,54.81,78.9,54.63,5.74,1
90.21,91.56,88.82,63.29,7.76,0
22.51,61.1,73.14,43.98,12.36,0
70.4,69.01,65.15,43.98,4.69,1
81.21,64.47,69.85,75.58,14.61,1
1.99,54.0,66.59,73.84,8.87,0
16.17,54.26,57.06,90.2,9.83,1
1.99,68.83,46.04,92.03,10.57,0
42.68,59.16,46.21,47.13,8.42,1
71.32,71.76,57.34,58.87,6.04,0
94.09,54.73,70.6,76.37,10.34,1
52.65,82.01,46.42,81.42,6.7,1
97.75,61.4,67.78,53.54,8.98,1
10.46,94.01,56.25,48.98,2.0,1
1.99,68.63,40.6,67.99,8.86,0
48.89,67.72,58.1,49.6,11.79,1
61.64,94.01,73.06,72.97,12.69,0
49.55,60.78,58.3,72.31,6.58,1
1.99,62.34,94.17,61.73,6.28,1
47.91,57.15,79.64,45.9,2.99,0
12.66,73.13,86.97,67.24,5.66,1
69.93,56.54,95.01,81.94,2.44,1
61.14,83.23,59.3,63.92,11.59,0
23.23,68.7,44.64,59.84,12.71,1
35.59,84.33,55.68,50.59,2.43,1
19.77,82.34,70.16,68.61,6.74,0
48.68,60.47,75.7,49.65,10.25,0
78.21,56.51,72.18,85.1,4.51,1
21.9,63.72,61.42,68.02,4.9,0
65.12,69.68,76.06,67.68,4.8,0
35.12,75.42,88.46,64.86,7.27,1
27.5,77.38,56.22,57.88,8.76,1
47.39,68.96,53.21,75.41,4.37,1
20.47,57.5,95.01,72.85,9.87,0
34.44,59.17,49.88,95.02,5.98,1
15.75,78.67,83.44,72.99,5.11,0
99.01,58.04,65.68,94.78,4.03,1
51.52,79.41,94.31,54.1,5.09,1
30.2,79.99,64.11,62.75,6.48,0
56.71,94.01,75.79,78.96,12.56,1
47.24,61.03,46.69,92.03,2.0,1
44.09,63.78,57.49,61.69,7.93,1
68.32,32.97,73.22,55.08,10.77,0
72.48,52.87,57.69,91.13,9.83,0
35.11,52.64,47.15,91.93,8.93,1
33.79,78.45,95.01,43.98,7.89,0
42.52,94.01,68.69,82.47,13.59,1
1.99,79.77,88.53,71.24,9.44,1
6.54,87.01,95.01,58.46,12.24,1
90.16,56.96,60.14,64.05,7.42,1
98.22,48.37,67.58,58.14,12.16,0
43.28,65.25,70.34,66.96,9.27,1
67.23,58.51,77.05,82.8,11.78,0
59.53,54.32,88.03,87.47,7.06,0
99.01,73.37,85.64,95.02,8.09,1
82.98,48.59,81.27,65.06,6.75,1
46.79,84.11,63.56,77.76,6.12,1
22.78,62.47,68.89,72.07,6.43,1
3.89,68.72,47.71,70.85,3.9,1
56.4,71.28,81.15,83.95,6.24,1
28.56,61.28,95.01,82.85,14.2,1
9.24,91.86,73.49,70.56,11.27,1
31.74,41.18,92.8,61.91,10.96,0
19.12,92.17,83.29,70.12,7.82,1
99.01,63.39,59.76,61.38,8.97,0
76.08,85.77,53.97,70.62,8.49,1
50.27,73.07,49.67,63.05,9.86,0
93.44,84.53,71.09,90.63,4.84,1
52.74,67.43,78.5,76.32,2.0,0
25.51,73.73,79.39,80.23,10.62,1
94.69,88.9,49.7,61.0,8.46,0
66.13,71.21,90.01,73.69,3.95,0
20.41,93.0,59.6,71.18,6.62,0
44.98,75.74,71.12,68.55,12.99,1
25.1,56.59,58.1,52.17,11.56,1
10.38,63.26,48.9,95.02,13.44,1
77.37,85.2,47.58,82.43,8.29,1
99.01,47.64,81.12,76.46,2.0,1
9.93,83.52,68.85,63.12,11.06,1
66.83,63.06,50.32,83.14,9.02,1
31.62,46.75,58.47,83.18,7.52,0
36.37,73.18,93.24,59.22,8.32,1
33.31,57.16,84.03,64.61,12.07,0
25.43,59.43,79.47,58.66,9.17,1
51.91,58.47,95.01,67.41,2.5,1
26.39,71.55,94.6,53.01,3.09,0
58.35,62.64,69.64,60.9,5.41,1
49.04,76.42,59.8,47.36,4.26,0
43.57,87.39,95.01,67.86,9.22,0
24.17,79.08,89.54,74.28,11.75,0
33.77,94.01,59.76,56.15,6.73,0
72.42,94.01,46.38,71.41,8.84,0
65.03,64.4,37.97,49.1,8.08,1
22.14,49.17,47.26,53.62,4.05,1
53.38,64.42,60.84,76.91,5.61,0
72.3,71.61,91.81,66.22,4.13,0
2.07,94.01,85.87,86.67,9.55,1
66.26,62.9,73.6,68.17,2.0,1
31.28,74.43,79.5,70.66,8.42,1
67.05,57.5,55.74,74.91,4.32,0
28.36,63.4,46.78,70.61,9.56,1
1.99,48.08,65.1,69.22,10.28,1
3.28,43.7,85.83,63.92,13.84,1
51.9,93.54,69.8,43.98,7.23,1
58.03,88.34,81.1,68.01,2.0,1
24.26,63.0,69.65,54.17,4.02,1
69.03,88.29,46.95,72.91,8.73,0
2.3,46.45,73.93,82.94,6.72,0
48.58,66.46,62.49,45.68,5.75,1
15.37,72.6,87.48,82.11,11.0,0
31.59,91.87,42.14,69.99,3.62,0
51.88,73.01,95.01,62.08,7.68,1
25.54,79.14,48.06,77.7,5.63,1
39.34,61.22,64.21,66.23,8.68,0
79.69,74.18,43.77,62.92,12.14,0
33.76,91.84,86.29,46.52,6.19,0
74.74,40.99,50.07,66.25,4.05,1
17.73,89.57,59.78,79.12,12.24,1
65.87,65.81,86.71,58.32,2.0,0
92.32,44.7,60.37,74.21,5.52,0
1.99,64.8,67.71,49.33,10.32,0
27.38,92.29,78.97,54.93,5.76,1
67.24,61.01,75.02,57.7,10.63,0
44.61,74.8,72.67,44.85,9.77,1
61.27,41.04,59.09,66.03,5.73,0
32.98,37.29,62.34,78.82,2.0,1
53.01,50.51,76.44,76.9,6.01,1
45.98,87.4,64.16,67.57,8.47,0
84.38,68.62,73.37,65.38,5.06,0
57.88,88.93,37.97,57.14,7.22,0
60.29,89.96,68.57,95.02,14.32,1
38.55,56.14,78.1,60.91,8.61,1
36.35,94.01,80.31,70.26,9.08,1
37.95,59.91,65.46,68.35,2.03,1
61.94,87.18,74.46,56.64,8.63,0
38.29,86.46,58.76,55.21,7.6,1
58.91,70.67,93.09,89.42,6.22,1
99.01,70.7,63.23,88.82,8.55,1
75.77,75.18,90.73,72.45,13.09,0
41.04,71.56,67.16,59.14,2.0,1
85.35,62.63,49.24,77.07,11.09,1
38.66,61.12,65.06,68.34,7.41,1
1.99,62.77,52.06,54.53,3.4,0
21.25,91.02,64.38,75.24,9.56,1
1.99,41.48,51.53,95.02,5.06,1
40.3,60.75,65.15,55.76,4.22,0
51.03,63.77,85.76,78.52,4.63,1
99.01,65.49,93.39,77.62,6.19,1
59.98,74.76,58.58,93.51,2.01,1
44.14,45.72,81.35,45.35,2.17,1
74.56,87.62,94.88,56.48,2.0,1
1.99,85.18,49.23,66.45,6.21,0
57.34,81.42,39.89,87.53,4.98,1
72.86,65.86,45.52,55.36,2.93,0
7.6,56.49,68.22,58.32,6.87,1
83.68,63.78,37.97,66.46,9.92,1
60.32,70.59,88.56,53.12,2.0,1
38.45,81.28,37.97,65.51,11.14,0
68.86,68.08,68.87,61.82,7.75,0
99.01,75.88,74.48,51.65,8.3,0
55.78,61.86,80.8,76.55,11.19,0
57.7,74.57,88.24,86.09,9.79,0
37.17,65.12,95.01,68.98,4.4,1
25.84,74.25,75.71,43.98,4.63,1
74.59,38.33,58.93,74.28,9.43,0
25.66,78.12,72.24,52.1,7.19,1
52.58,79.05,75.78,58.71,3.81,0
36.64,78.86,73.12,72.56,7.67,0
64.4,52.09,60.91,71.79,8.03,0
60.18,56.98,89.58,63.8,10.3,0
80.6,54.19,62.42,49.41,6.28,1
35.7,75.34,67.01,43.98,4.72,1
42.67,81.14,54.73,75.78,6.6,1
22.1,57.22,84.81,72.28,5.49,1
37.61,92.74,95.01,88.1,9.65,0
61.45,92.51,89.45,60.16,5.31,1
72.46,71.96,50.77,61.88,14.5,1
23.75,76.07,55.28,47.53,6.01,1
75.73,39.87,42.47,66.21,4.94,1
89.83,60.18,74.22,76.8,6.3,0
62.49,47.41,77.22,65.12,15.0,1
99.01,53.46,57.54,70.44,9.16,1
28.05,78.6,59.62,89.11,9.85,1
14.39,82.87,37.97,67.6,6.08,1
1.99,83.6,67.12,79.06,3.06,1
93.9,73.79,57.18,63.33,3.11,0
69.48,78.76,57.33,67.32,5.58,1
48.89,41.47,95.01,61.79,9.54,1
58.62,46.76,80.39,92.73,3.15,1
17.85,65.83,68.55,87.0,4.62,0
99.01,80.07,72.84,70.19,5.56,1
54.25,61.62,60.46,76.24,15.0,0
53.67,45.5,85.51,83.85,11.05,1
71.56,57.31,64.38,93.71,4.25,0
64.45,53.04,50.56,55.91,6.0,1
57.0,39.08,95.01,63.18,5.21,0
27.57,94.01,55.64,92.29,9.07,0
64.18,91.28,95.01,69.88,11.45,1
99.01,34.65,84.47,70.65,4.32,0
89.53,35.59,80.6,67.81,3.45,1
96.72,55.29,52.69,76.59,5.14,0
35.67,43.23,94.05,71.53,11.67,0
21.79,94.01,95.01,58.35,8.64,1
46.85,55.36,51.78,59.78,4.53,0
52.12,75.9,67.64,76.41,11.62,1
82.24,60.59,53.77,66.88,6.24,1
1.99,48.92,63.17,78.81,6.89,0
94.87,88.01,66.13,77.22,15.0,1
45.92,81.08,91.06,70.32,13.42,0
